last_name,first_name,type,state,party
Young,Todd,sen,IN,Republican
Amodei,Mark,rep,NV,Republican
Bonamici,Suzanne,rep,OR,Democrat
DelBene,Suzan,rep,WA,Democrat
Massie,Thomas,rep,KY,Republican
Payne,Donald,rep,NJ,Democrat
Schatz,Brian,sen,HI,Democrat
Foster,Bill,rep,IL,Democrat
Titus,Dina,rep,NV,Democrat
Cotton,Tom,sen,AR,Republican
Sinema,Kyrsten,sen,AZ,Democrat
LaMalfa,Doug,rep,CA,Republican
Huffman,Jared,rep,CA,Democrat
Bera,Ami,rep,CA,Democrat
Cook,Paul,rep,CA,Republican
Swalwell,Eric,rep,CA,Democrat
Brownley,Julia,rep,CA,Democrat
Cárdenas,Tony,rep,CA,Democrat
Ruiz,Raul,rep,CA,Democrat
Takano,Mark,rep,CA,Democrat
Lowenthal,Alan,rep,CA,Democrat
Vargas,Juan,rep,CA,Democrat
Peters,Scott,rep,CA,Democrat
Yoho,Ted,rep,FL,Republican
Frankel,Lois,rep,FL,Democrat
Collins,Doug,rep,GA,Republican
Gabbard,Tulsi,rep,HI,Democrat
Duckworth,Tammy,sen,IL,Democrat
Davis,Rodney,rep,IL,Republican
Bustos,Cheri,rep,IL,Democrat
Walorski,Jackie,rep,IN,Republican
Brooks,Susan,rep,IN,Republican
Barr,Garland,rep,KY,Republican
Warren,Elizabeth,sen,MA,Democrat
Kennedy,Joseph,rep,MA,Democrat
King,Angus,sen,ME,Independent
Kildee,Daniel,rep,MI,Democrat
Wagner,Ann,rep,MO,Republican
Daines,Steve,sen,MT,Republican
Hudson,Richard,rep,NC,Republican
Meadows,Mark,rep,NC,Republican
Holding,George,rep,NC,Republican
Cramer,Kevin,sen,ND,Republican
Fischer,Deb,sen,NE,Republican
Kuster,Ann,rep,NH,Democrat
Meng,Grace,rep,NY,Democrat
Jeffries,Hakeem,rep,NY,Democrat
Maloney,Sean,rep,NY,Democrat
Wenstrup,Brad,rep,OH,Republican
Beatty,Joyce,rep,OH,Democrat
Joyce,David,rep,OH,Republican
Mullin,Markwayne,rep,OK,Republican
Perry,Scott,rep,PA,Republican
Cartwright,Matthew,rep,PA,Democrat
Rice,Tom,rep,SC,Republican
Cruz,Ted,sen,TX,Republican
Weber,Randy,rep,TX,Republican
Castro,Joaquin,rep,TX,Democrat
Williams,Roger,rep,TX,Republican
Veasey,Marc,rep,TX,Democrat
Vela,Filemon,rep,TX,Democrat
Stewart,Chris,rep,UT,Republican
Kaine,Timothy,sen,VA,Democrat
Kilmer,Derek,rep,WA,Democrat
Heck,Denny,rep,WA,Democrat
Pocan,Mark,rep,WI,Democrat
Kelly,Robin,rep,IL,Democrat
Smith,Jason,rep,MO,Republican
Booker,Cory,sen,NJ,Democrat
Clark,Katherine,rep,MA,Democrat
Byrne,Bradley,rep,AL,Republican
Norcross,Donald,rep,NJ,Democrat
Adams,Alma,rep,NC,Democrat
Palmer,Gary,rep,AL,Republican
Hill,French,rep,AR,Republican
Westerman,Bruce,rep,AR,Republican
Gallego,Ruben,rep,AZ,Democrat
DeSaulnier,Mark,rep,CA,Democrat
Aguilar,Pete,rep,CA,Democrat
Lieu,Ted,rep,CA,Democrat
Torres,Norma,rep,CA,Democrat
Buck,Ken,rep,CO,Republican
Carter,Buddy,rep,GA,Republican
Hice,Jody,rep,GA,Republican
Loudermilk,Barry,rep,GA,Republican
Allen,Rick,rep,GA,Republican
Bost,Mike,rep,IL,Republican
Abraham,Ralph,rep,LA,Republican
Graves,Garret,rep,LA,Republican
Moulton,Seth,rep,MA,Democrat
Moolenaar,John,rep,MI,Republican
Dingell,Debbie,rep,MI,Democrat
Lawrence,Brenda,rep,MI,Democrat
Emmer,Tom,rep,MN,Republican
Rouzer,David,rep,NC,Republican
Watson Coleman,Bonnie,rep,NJ,Democrat
Zeldin,Lee,rep,NY,Republican
Rice,Kathleen,rep,NY,Democrat
Stefanik,Elise,rep,NY,Republican
Katko,John,rep,NY,Republican
Boyle,Brendan,rep,PA,Democrat
Ratcliffe,John,rep,TX,Republican
Hurd,Will,rep,TX,Republican
Babin,Brian,rep,TX,Republican
Beyer,Donald,rep,VA,Democrat
Plaskett,Stacey,rep,VI,Democrat
Newhouse,Dan,rep,WA,Republican
Grothman,Glenn,rep,WI,Republican
Mooney,Alex,rep,WV,Republican
Amata,Aumua,rep,AS,Republican
Sullivan,Dan,sen,AK,Republican
Perdue,David,sen,GA,Republican
Ernst,Joni,sen,IA,Republican
Tillis,Thom,sen,NC,Republican
Rounds,Mike,sen,SD,Republican
Walker,Mark,rep,NC,Republican
Sasse,Benjamin,sen,NE,Republican
Kelly,Trent,rep,MS,Republican
LaHood,Darin,rep,IL,Republican
Davidson,Warren,rep,OH,Republican
Comer,James,rep,KY,Republican
Evans,Dwight,rep,PA,Democrat
Harris,Kamala,sen,CA,Democrat
Kennedy,John,sen,LA,Republican
Hassan,Margaret,sen,NH,Democrat
Cortez Masto,Catherine,sen,NV,Democrat
Schneider,Bradley,rep,IL,Democrat
O’Halleran,Tom,rep,AZ,Democrat
Biggs,Andy,rep,AZ,Republican
Khanna,Ro,rep,CA,Democrat
Panetta,Jimmy,rep,CA,Democrat
Carbajal,Salud,rep,CA,Democrat
Barragán,Nanette,rep,CA,Democrat
Correa,J.,rep,CA,Democrat
Blunt Rochester,Lisa,rep,DE,Democrat
Gaetz,Matt,rep,FL,Republican
Dunn,Neal,rep,FL,Republican
Rutherford,John,rep,FL,Republican
Lawson,Al,rep,FL,Democrat
Murphy,Stephanie,rep,FL,Democrat
Soto,Darren,rep,FL,Democrat
Demings,Val,rep,FL,Democrat
Crist,Charlie,rep,FL,Democrat
Mast,Brian,rep,FL,Republican
Rooney,Francis,rep,FL,Republican
Ferguson,A.,rep,GA,Republican
Krishnamoorthi,Raja,rep,IL,Democrat
Banks,Jim,rep,IN,Republican
Hollingsworth,Trey,rep,IN,Republican
Marshall,Roger,rep,KS,Republican
Higgins,Clay,rep,LA,Republican
Johnson,Mike,rep,LA,Republican
Brown,Anthony,rep,MD,Democrat
Raskin,Jamie,rep,MD,Democrat
Bergman,Jack,rep,MI,Republican
Mitchell,Paul,rep,MI,Republican
Budd,Ted,rep,NC,Republican
Bacon,Don,rep,NE,Republican
Gottheimer,Josh,rep,NJ,Democrat
Rosen,Jacky,sen,NV,Democrat
Suozzi,Thomas,rep,NY,Democrat
Espaillat,Adriano,rep,NY,Democrat
Fitzpatrick,Brian,rep,PA,Republican
Smucker,Lloyd,rep,PA,Republican
González-Colón,Jenniffer,rep,PR,Republican
Kustoff,David,rep,TN,Republican
Gonzalez,Vicente,rep,TX,Democrat
Arrington,Jodey,rep,TX,Republican
McEachin,A.,rep,VA,Democrat
Jayapal,Pramila,rep,WA,Democrat
Gallagher,Mike,rep,WI,Republican
Cheney,Liz,rep,WY,Republican
Estes,Ron,rep,KS,Republican
Gianforte,Greg,rep,MT,Republican
Norman,Ralph,rep,SC,Republican
Gomez,Jimmy,rep,CA,Democrat
Curtis,John,rep,UT,Republican
Jones,Doug,sen,AL,Democrat
Smith,Tina,sen,MN,Democrat
Hyde-Smith,Cindy,sen,MS,Republican
Lamb,Conor,rep,PA,Democrat
Lesko,Debbie,rep,AZ,Republican
Cloud,Michael,rep,TX,Republican
Balderson,Troy,rep,OH,Republican
Hern,Kevin,rep,OK,Republican
Morelle,Joseph,rep,NY,Democrat
Scanlon,Mary,rep,PA,Democrat
Wild,Susan,rep,PA,Democrat
Case,Ed,rep,HI,Democrat
Horsford,Steven,rep,NV,Democrat
Kirkpatrick,Ann,rep,AZ,Democrat
Stanton,Greg,rep,AZ,Democrat
Harder,Josh,rep,CA,Democrat
Cox,TJ,rep,CA,Democrat
Cisneros,Gilbert,rep,CA,Democrat
Porter,Katie,rep,CA,Democrat
Rouda,Harley,rep,CA,Democrat
Levin,Mike,rep,CA,Democrat
Neguse,Joe,rep,CO,Democrat
Crow,Jason,rep,CO,Democrat
Hayes,Jahana,rep,CT,Democrat
Waltz,Michael,rep,FL,Republican
Spano,Ross,rep,FL,Republican
Steube,W.,rep,FL,Republican
Mucarsel-Powell,Debbie,rep,FL,Democrat
Shalala,Donna,rep,FL,Democrat
McBath,Lucy,rep,GA,Democrat
San Nicolas,Michael,rep,GU,Democrat
